Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperature (),Set Value (),u (),u_sum (),de ()
427,1673969745695,28.54,33.0,19.109,219.811,-0.01
428,1673969745861,28.54,33.0,19.16,220.034,0.0
429,1673969746028,28.56,33.0,18.982,220.256,-0.02
430,1673969746194,28.57,33.0,18.993,220.477,-0.01
431,1673969746361,28.57,33.0,19.044,220.699,0.0
432,1673969746527,28.57,33.0,19.046,220.92,0.0
433,1673969746693,28.58,33.0,18.957,221.141,-0.01
434,1673969746861,28.59,33.0,18.918,221.362,-0.01
435,1673969747028,28.6,33.0,18.879,221.582,-0.01
436,1673969747194,28.61,33.0,18.841,221.801,-0.01
437,1673969747361,28.61,33.0,18.892,222.021,0.0
438,1673969747527,28.63,33.0,18.713,222.239,-0.02
439,1673969747694,28.64,33.0,18.725,222.457,-0.01
440,1673969747862,28.63,33.0,18.866,222.676,0.01
441,1673969748027,28.64,33.0,18.727,222.894,-0.01
442,1673969748194,28.65,33.0,18.689,223.111,-0.01
443,1673969748362,28.66,33.0,18.65,223.328,-0.01
444,1673969748528,28.67,33.0,18.611,223.545,-0.01
445,1673969748696,28.67,33.0,18.663,223.761,0.0
446,1673969748861,28.68,33.0,18.574,223.977,-0.01
447,1673969749028,28.7,33.0,18.445,224.192,-0.02
448,1673969749196,28.69,33.0,18.636,224.408,0.01
449,1673969749361,28.71,33.0,18.408,224.622,-0.02
450,1673969749528,28.71,33.0,18.509,224.837,0.0
451,1673969749694,28.72,33.0,18.42,225.051,-0.01
452,1673969749862,28.72,33.0,18.472,225.265,0.0
453,1673969750028,28.73,33.0,18.383,225.478,-0.01
454,1673969750194,28.74,33.0,18.344,225.691,-0.01
455,1673969750362,28.74,33.0,18.395,225.904,0.0
456,1673969750527,28.75,33.0,18.307,226.117,-0.01
457,1673969750695,28.76,33.0,18.268,226.329,-0.01
458,1673969750862,28.76,33.0,18.319,226.541,0.0
459,1673969751027,28.78,33.0,18.141,226.752,-0.02
460,1673969751194,28.78,33.0,18.242,226.963,0.0
461,1673969751361,28.79,33.0,18.153,227.173,-0.01
462,1673969751527,28.79,33.0,18.204,227.384,0.0
463,1673969751693,28.79,33.0,18.206,227.594,0.0
464,1673969751860,28.82,33.0,17.937,227.803,-0.03
465,1673969752026,28.82,33.0,18.088,228.012,0.0
